Reward from homework,Course relevance,Interdisciplinary learning,Cooperation and Discussion,Homework numbers,Scale,Average time spent,Homework deadlines,Step by step,Feeling,Difficulty of implementation,Difficulty in understanding,Student qualifications,Student concentration,Student responsibility,Research relevance,answer,reward,time_cost,feel,ability
10,highly correlated,fifty-fifty,seldom,3-4,small,<1 hr,one weeks,fifty-fifty,interested,difficult,super hard,low,high,low,middle,1,8,-6,0,-2
8,highly correlated,uncertain,always,1-2,small,<1 hr,two weeks,uncertain,interested,simple,very easy,high,between middle/high,low,high,1,8,-6,-1,3
5,highly correlated,a little,always,1-2,small to medium,<1 hr,one weeks,roughly,motivated,simple,simple,middle,between low/middle,between middle/high,between low/middle,1,8,-6,2,-1
9,highly correlated,fifty-fifty,seldom,1-2,small,<1 hr,two weeks,fully qualified,bored,moderate,very easy,middle,high,low,high,1,8,-6,1,2
6,highly correlated,a little,always,1-2,small,1-3 hr,one weeks,roughly,impatient,moderate,very easy,between low/middle,low,low,between low/middle,1,8,-6,1,-6
9,moderately correlated,a little,often,1-2,small,1-3 hr,one weeks,no,rewarding,very easy,moderate,high,low,low,between middle/high,1,8,-6,1,-1
5,highly correlated,often,common,1-2,small to medium,<1 hr,three days,fifty-fifty,rewarding,difficult,difficult,between middle/high,between middle/high,high,between middle/high,1,8,-7,4,5
10,highly correlated,fifty-fifty,seldom,3-4,small,<1 hr,three days,roughly,motivated,super hard,simple,low,low,low,high,1,8,-7,0,-4
4,highly correlated,fifty-fifty,always,1-2,small,1-3 hr,three days,fifty-fifty,bored,simple,simple,high,middle,high,between middle/high,1,8,-7,-2,5
7,moderately correlated,a little,always,1-2,medium,<1 hr,three days,roughly,worried,moderate,super hard,between low/middle,between low/middle,between middle/high,low,1,8,-6,-1,-3
7,highly correlated,often,seldom,1-2,small to medium,<1 hr,one weeks,no,bored,simple,difficult,between low/middle,high,between low/middle,middle,1,8,-6,-3,0
6,moderately correlated,fifty-fifty,always,1-2,small,1-3 hr,one weeks,uncertain,interested,moderate,moderate,between low/middle,between low/middle,high,high,1,8,-6,4,2
7,highly correlated,often,seldom,1-2,small to medium,<1 hr,three days,roughly,inspired,simple,super hard,low,middle,between middle/high,high,1,8,-7,1,1
7,moderately correlated,often,common,3-4,small,1-3 hr,three days,fifty-fifty,inspired,difficult,simple,between low/middle,low,between low/middle,high,1,8,-6,3,-2
7,moderately correlated,often,always,1-2,medium,<1 hr,three days,no,confused,super hard,super hard,low,between middle/high,between middle/high,high,1,12,-6,-7,2
7,highly correlated,uncertain,always,1-2,small to medium,1-3 hr,three days,roughly,worried,super hard,super hard,between middle/high,between middle/high,between middle/high,between middle/high,1,8,-6,-5,4
8,highly correlated,uncertain,always,1-2,small to medium,1-3 hr,three days,fifty-fifty,inspired,moderate,moderate,between middle/high,middle,low,between low/middle,1,8,-6,6,-2
7,highly correlated,often,seldom,1-2,small,1-3 hr,three days,uncertain,inspired,super hard,simple,high,middle,between middle/high,between low/middle,1,8,-7,-1,2
3,highly correlated,fifty-fifty,always,3-4,small,1-3 hr,three days,fifty-fifty,confused,very easy,super hard,high,low,between low/middle,middle,1,8,-6,-4,-1
9,moderately correlated,often,often,1-2,small,3-5 hr,three days,roughly,inspired,very easy,simple,low,low,between middle/high,between low/middle,1,12,-6,2,-4
8,moderately correlated,often,common,1-2,small to medium,<1 hr,one weeks,uncertain,confused,difficult,moderate,between low/middle,between middle/high,high,low,1,8,-6,1,0
10,highly correlated,uncertain,often,1-2,small,1-3 hr,three days,fifty-fifty,inspired,super hard,very easy,between middle/high,between low/middle,middle,high,1,8,-7,-1,2
7,moderately correlated,often,often,1-2,small,<1 hr,one weeks,fifty-fifty,interested,super hard,simple,high,between middle/high,between middle/high,high,1,10,-7,-1,6
7,moderately correlated,often,always,1-2,small,<1 hr,one weeks,no,confused,simple,simple,between low/middle,low,between middle/high,between middle/high,1,12,-7,-3,-1
7,highly correlated,a little,often,1-2,small,1-3 hr,one weeks,fully qualified,interested,super hard,difficult,between low/middle,high,middle,low,1,8,-6,2,-1
10,moderately correlated,fifty-fifty,often,1-2,small to medium,<1 hr,one weeks,no,confused,very easy,super hard,high,between middle/high,low,high,1,10,-6,-6,3
10,highly correlated,fifty-fifty,often,3-4,small,<1 hr,three days,uncertain,confused,very easy,super hard,middle,low,between low/middle,middle,1,12,-7,-5,-3
9,modestly correlated,often,often,1-2,small,<1 hr,two weeks,fifty-fifty,impatient,simple,very easy,low,between low/middle,low,high,1,8,-6,-2,-3
7,moderately correlated,a little,always,3-4,small to medium,<1 hr,three days,uncertain,confused,super hard,difficult,between low/middle,between low/middle,high,between middle/high,1,8,-6,-3,1
5,highly correlated,fifty-fifty,always,1-2,small,<1 hr,three days,fully qualified,interested,very easy,super hard,middle,high,low,high,1,10,-8,0,2
9,highly correlated,fifty-fifty,often,3-4,small to medium,<1 hr,three days,uncertain,worried,simple,simple,between middle/high,low,between middle/high,middle,1,12,-6,-3,0
9,moderately correlated,fifty-fifty,always,1-2,small to medium,<1 hr,one weeks,uncertain,interested,simple,moderate,low,middle,middle,middle,1,12,-6,2,-2
3,highly correlated,fifty-fifty,always,3-4,small to medium,<1 hr,three days,uncertain,confused,very easy,super hard,between middle/high,high,high,high,1,8,-6,-5,7
7,highly correlated,fifty-fifty,common,1-2,small to medium,<1 hr,three days,uncertain,motivated,super hard,moderate,between middle/high,high,between low/middle,middle,1,8,-7,0,2
10,moderately correlated,often,often,1-2,small to medium,<1 hr,three days,uncertain,motivated,simple,very easy,between middle/high,high,between middle/high,between low/middle,1,12,-7,-1,3
7,moderately correlated,fifty-fifty,often,1-2,small,<1 hr,two weeks,fully qualified,motivated,simple,very easy,between low/middle,middle,between middle/high,low,1,8,-6,2,-2
7,moderately correlated,fifty-fifty,always,1-2,small,3-5 hr,three days,uncertain,motivated,very easy,moderate,between low/middle,between middle/high,high,middle,1,10,-6,1,2
9,highly correlated,often,seldom,3-4,small,1-3 hr,three days,roughly,worried,simple,simple,between low/middle,low,low,high,1,10,-6,-1,-3
10,highly correlated,fifty-fifty,often,1-2,small,3-5 hr,three days,fully qualified,interested,super hard,difficult,low,high,low,high,1,12,-6,2,0
5,highly correlated,a little,always,3-4,small to medium,<1 hr,three days,fully qualified,interested,moderate,difficult,low,low,middle,between low/middle,1,8,-6,6,-5
10,moderately correlated,often,common,3-4,small to medium,<1 hr,three days,fifty-fifty,impatient,difficult,moderate,between low/middle,middle,middle,middle,1,10,-6,2,-1
5,highly correlated,often,common,1-2,small,1-3 hr,three days,uncertain,impatient,moderate,very easy,between middle/high,middle,low,low,1,8,-7,-1,-3
6,highly correlated,often,common,1-2,small,<1 hr,two weeks,fifty-fifty,confused,super hard,very easy,low,middle,low,low,1,8,-6,-4,-6
10,highly correlated,often,often,1-2,small,1-3 hr,three days,no,inspired,very easy,super hard,middle,high,between middle/high,between middle/high,1,14,-7,-3,4
9,highly correlated,a little,often,3-4,small to medium,<1 hr,three days,no,inspired,simple,super hard,between middle/high,between low/middle,low,low,1,10,-6,-2,-4
9,modestly correlated,often,often,1-2,small,1-3 hr,three days,fifty-fifty,motivated,moderate,very easy,middle,high,between low/middle,between middle/high,1,8,-7,2,2
3,highly correlated,fifty-fifty,always,3-4,small to medium,<1 hr,three days,roughly,inspired,difficult,super hard,between low/middle,low,low,between middle/high,1,8,-6,2,-4
10,highly correlated,uncertain,always,1-2,small,<1 hr,two weeks,fully qualified,worried,very easy,super hard,middle,between low/middle,middle,low,1,10,-6,-3,-3
8,highly correlated,a little,often,1-2,small,<1 hr,two weeks,fully qualified,confused,super hard,super hard,low,low,low,low,1,8,-6,-3,-8
8,highly correlated,often,always,3-4,small,<1 hr,three days,fully qualified,interested,simple,moderate,middle,between low/middle,low,middle,1,14,-7,5,-3
5,highly correlated,often,often,1-2,small,3-5 hr,three days,roughly,confused,simple,simple,low,between low/middle,middle,low,1,10,-6,0,-5
10,highly correlated,a little,always,1-2,small,<1 hr,one weeks,uncertain,rewarding,difficult,simple,between low/middle,between middle/high,low,between middle/high,1,12,-7,2,-1
10,moderately correlated,a little,often,1-2,small,<1 hr,three days,fifty-fifty,impatient,difficult,very easy,between middle/high,high,high,between middle/high,1,8,-8,-1,6
7,moderately correlated,a little,always,1-2,small,3-5 hr,three days,fifty-fifty,confused,moderate,moderate,high,middle,middle,between low/middle,1,8,-6,3,1
10,modestly correlated,fifty-fifty,always,3-4,small to medium,<1 hr,three days,roughly,worried,simple,difficult,high,high,high,low,1,8,-6,0,4
9,no correlation,often,always,1-2,small,3-5 hr,three days,uncertain,bored,super hard,moderate,low,high,high,between low/middle,1,8,-6,-3,1
8,highly correlated,often,often,1-2,small,3-5 hr,three days,fully qualified,impatient,very easy,simple,middle,high,between low/middle,low,1,12,-6,0,-1
9,moderately correlated,fifty-fifty,always,1-2,small,1-3 hr,one weeks,no,confused,difficult,super hard,between middle/high,middle,low,low,1,12,-6,-4,-3
4,highly correlated,often,often,3-4,small to medium,<1 hr,three days,fully qualified,rewarding,moderate,simple,low,low,between low/middle,between middle/high,1,8,-6,6,-4
9,moderately correlated,uncertain,always,1-2,small,3-5 hr,three days,fifty-fifty,confused,very easy,difficult,middle,high,low,high,1,8,-6,-1,2
8,highly correlated,uncertain,always,1-2,small to medium,<1 hr,one weeks,no,impatient,difficult,super hard,low,middle,between middle/high,between middle/high,1,8,-6,-4,0
7,highly correlated,fifty-fifty,common,1-2,small,<1 hr,one weeks,uncertain,inspired,difficult,very easy,between low/middle,low,between low/middle,middle,1,8,-7,1,-4
7,highly correlated,fifty-fifty,common,1-2,small,<1 hr,one weeks,uncertain,rewarding,very easy,simple,between low/middle,between low/middle,high,between middle/high,1,8,-7,0,1
10,highly correlated,often,common,1-2,small,<1 hr,two weeks,uncertain,worried,super hard,very easy,between middle/high,low,between middle/high,between middle/high,1,12,-6,-6,1
10,moderately correlated,fifty-fifty,common,1-2,small to medium,<1 hr,one weeks,fifty-fifty,rewarding,moderate,difficult,middle,middle,between middle/high,between low/middle,1,8,-6,5,0
8,moderately correlated,a little,always,3-4,small to medium,<1 hr,three days,uncertain,rewarding,difficult,difficult,between middle/high,between low/middle,high,between middle/high,1,8,-6,3,3
8,moderately correlated,fifty-fifty,always,3-4,small,<1 hr,one weeks,fully qualified,interested,moderate,simple,between middle/high,between low/middle,between middle/high,high,1,10,-6,5,3
7,moderately correlated,a little,always,1-2,small to medium,1-3 hr,three days,roughly,interested,super hard,very easy,between low/middle,middle,low,high,1,8,-6,-1,-1
5,moderately correlated,often,often,1-2,small,<1 hr,three days,fully qualified,confused,very easy,moderate,between low/middle,low,middle,low,1,8,-8,2,-5
5,moderately correlated,often,often,1-2,small,<1 hr,two weeks,roughly,bored,very easy,moderate,high,middle,middle,low,1,8,-6,0,0
